Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobLevel,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,PerformanceRating,WorkLifeBalance,YearsAtCompany
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,2,Female,2,Single,19479,8,Yes,3,1,6
49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,3,Male,2,Married,24907,1,No,4,3,10
37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,4,Male,1,Single,2396,6,Yes,3,3,0
33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,4,Female,1,Married,23159,1,Yes,3,3,8
27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,Male,1,Married,16632,9,No,3,3,2
32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,4,Male,1,Single,11864,0,No,3,2,7
59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,3,Female,1,Married,9964,4,Yes,4,2,1
30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,4,Male,1,Divorced,13335,1,No,4,3,1
38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,4,Male,3,Single,8787,0,No,4,3,9
36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,3,Male,2,Married,16577,6,No,3,2,7
35,No,Travel_Rarely,809,Research & Development,16,3,Medical,1,Male,1,Married,16479,0,No,3,3,5
29,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,4,Female,2,Single,12682,0,Yes,3,3,9
31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,Male,1,Divorced,15170,1,No,3,2,5
34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,2,Male,1,Divorced,8758,0,No,3,3,2
28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,3,Male,1,Single,12947,5,Yes,3,3,4
29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,2,Female,3,Divorced,,1,No,3,3,10
32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,Male,1,Divorced,15053,0,Yes,3,2,6
22,No,Non-Travel,1123,Research & Development,16,2,Medical,4,Male,1,Divorced,7324,1,Yes,3,2,1
53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,Female,4,Married,22021,2,No,3,3,25
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,4,Male,1,Single,4306,5,Yes,3,3,3
24,No,Non-Travel,673,Research & Development,11,2,Other,1,Female,2,Divorced,8232,0,No,3,2,4
36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,3,Male,1,Single,6986,7,No,4,3,5
34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,Female,3,Single,21293,0,No,3,3,12
21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,3,Male,1,Single,19281,1,No,3,3,0
34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,2,Male,1,Single,17102,2,No,3,3,4
53,No,Travel_Rarely,1282,Research & Development,5,3,Other,3,Female,5,Divorced,10735,4,No,3,2,14
32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,2,Female,1,Single,4681,1,Yes,4,3,10
42,No,Travel_Rarely,691,Sales,8,4,Marketing,3,Male,2,Married,21173,0,No,3,3,9
44,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,Female,3,Married,2094,3,No,3,3,22
46,No,Travel_Rarely,705,Sales,2,4,Marketing,2,Female,5,Single,22822,3,No,3,2,2
33,No,Travel_Rarely,924,Research & Development,2,3,Medical,3,,1,Single,6670,4,No,3,3,1
44,No,Travel_Rarely,1459,Research & Development,10,4,Other,4,Male,2,Married,19121,2,Yes,3,4,4
30,No,Travel_Rarely,125,Research & Development,9,2,Medical,4,Male,1,Single,16117,1,No,3,3,10
39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,4,Male,2,Married,3335,3,No,3,4,1
24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,2,Male,1,Married,3020,2,Yes,3,2,2
43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,4,Female,1,Divorced,21923,1,No,3,2,5
50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,Male,1,Married,3810,1,Yes,3,3,3
35,No,Travel_Rarely,890,Sales,2,3,Marketing,4,Female,1,Married,9687,1,No,3,3,2
36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,2,Female,1,Married,13072,9,Yes,3,4,1
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,3,Female,2,Married,3193,2,No,3,3,5
35,No,Travel_Rarely,464,Research & Development,4,2,Other,3,Male,1,Divorced,10910,1,No,3,3,1
27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,4,Female,1,Divorced,19715,1,No,3,3,1
26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,Male,1,Single,10558,1,No,3,2,1
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,4,Male,3,Single,,1,No,3,3,9
30,No,Travel_Frequently,721,Research & Development,1,2,Medical,3,Female,2,Single,10781,1,No,4,3,12
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,2,Female,5,Married,16280,1,No,3,3,22
34,No,Non-Travel,1065,Sales,23,4,Marketing,2,Male,2,Single,10034,0,No,4,3,9
37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,2,Male,1,Married,10227,4,No,4,3,1
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,1,Male,2,Single,20445,4,Yes,4,3,9
35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,4,Male,1,Married,4892,1,No,3,3,1
48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,Male,3,Single,19294,9,Yes,3,3,1
28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,3,Male,1,Single,11179,1,Yes,3,2,2
44,No,Travel_Rarely,1488,Sales,1,5,Marketing,2,Female,2,Divorced,4009,5,Yes,4,2,4
35,No,Non-Travel,1097,Research & Development,11,2,Medical,3,Male,3,Married,8302,2,Yes,3,3,4
26,No,Travel_Rarely,1443,Sales,23,3,Marketing,3,Female,2,Married,21436,7,Yes,3,2,2
33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,Female,3,Single,15146,1,Yes,3,3,15
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,2,Male,3,Married,11031,1,No,4,2,9
35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,3,Female,1,Married,16002,3,Yes,3,3,2
31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,4,Male,2,Divorced,9528,3,No,4,2,7
37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,Male,2,Divorced,2689,1,No,3,4,7
32,No,Travel_Rarely,427,Research & Development,1,3,Medical,1,Male,2,Married,10877,1,Yes,4,3,9
38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,4,Female,2,Single,5456,1,No,3,3,10
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,2,Female,5,Divorced,16701,5,Yes,3,2,27
59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,Female,3,Single,2354,7,No,3,2,21
36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,3,Female,3,Divorced,8202,1,No,3,3,17
55,No,Travel_Rarely,836,Research & Development,8,3,Medical,4,Female,4,Divorced,19730,2,Yes,3,3,5
36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,2,Male,2,Single,22656,1,No,3,3,6
45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,2,Male,3,Divorced,18787,2,No,3,3,1
35,No,Travel_Frequently,664,Research & Development,1,3,Medical,2,Male,1,Married,5868,4,No,3,2,3
36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,4,Male,1,Married,21777,0,Yes,3,2,1
59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,Female,2,Single,24668,7,No,3,2,4
29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,3,Male,1,Married,4956,0,No,4,3,5
31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,3,Male,1,Single,18775,1,No,3,3,1
32,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,2,Male,2,Married,7346,1,No,3,3,10
36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,2,Female,1,Married,22002,3,No,3,3,1
