,pclass,sex,age,fare,embarked,alone,survived
0,3,male,22.0,7.25,S,False,0
1,1,female,38.0,71.2833,C,False,1
2,3,female,26.0,7.925,S,True,1
3,1,female,35.0,53.1,S,False,1
4,3,male,35.0,8.05,S,True,0
6,1,male,54.0,51.8625,S,True,0
7,3,male,2.0,21.075,S,False,0
8,3,female,27.0,11.1333,S,False,1
9,2,female,14.0,30.0708,C,False,1
10,3,female,4.0,16.7,S,False,1
11,1,female,58.0,26.55,S,True,1
12,3,male,20.0,8.05,S,True,0
13,3,male,39.0,31.275,S,False,0
14,3,female,14.0,7.8542,S,True,0
15,2,female,55.0,16.0,S,True,1
16,3,male,2.0,29.125,Q,False,0
18,3,female,31.0,18.0,S,False,0
20,2,male,35.0,26.0,S,True,0
21,2,male,34.0,13.0,S,True,1
22,3,female,15.0,8.0292,Q,True,1
23,1,male,28.0,35.5,S,True,1
24,3,female,8.0,21.075,S,False,0
25,3,female,38.0,31.3875,S,False,1
27,1,male,19.0,263.0,S,False,0
30,1,male,40.0,27.7208,C,True,0
33,2,male,66.0,10.5,S,True,0
34,1,male,28.0,82.1708,C,False,0
35,1,male,42.0,52.0,S,False,0
37,3,male,21.0,8.05,S,True,0
38,3,female,18.0,18.0,S,False,0
39,3,female,14.0,11.2417,C,False,1
40,3,female,40.0,9.475,S,False,0
41,2,female,27.0,21.0,S,False,0
43,2,female,3.0,41.5792,C,False,1
44,3,female,19.0,7.8792,Q,True,1
49,3,female,18.0,17.8,S,False,0
50,3,male,7.0,39.6875,S,False,0
51,3,male,21.0,7.8,S,True,0
52,1,female,49.0,76.7292,C,False,1
53,2,female,29.0,26.0,S,False,1
54,1,male,65.0,61.9792,C,False,0
56,2,female,21.0,10.5,S,True,1
57,3,male,28.5,7.2292,C,True,0
58,2,female,5.0,27.75,S,False,1
59,3,male,11.0,46.9,S,False,0
60,3,male,22.0,7.2292,C,True,0
62,1,male,45.0,83.475,S,False,0
63,3,male,4.0,27.9,S,False,0
66,2,female,29.0,10.5,S,True,1
67,3,male,19.0,8.1583,S,True,0
68,3,female,17.0,7.925,S,False,1
69,3,male,26.0,8.6625,S,False,0
70,2,male,32.0,10.5,S,True,0
71,3,female,16.0,46.9,S,False,0
72,2,male,21.0,73.5,S,True,0
73,3,male,26.0,14.4542,C,False,0
